,id,content,location_traffic_convenience,location_distance_from_business_district,location_easy_to_find,service_wait_time,service_waiters_attitude,service_parking_convenience,service_serving_speed,price_level,price_cost_effective,price_discount,environment_decoration,environment_noise,environment_space,environment_cleaness,dish_portion,dish_taste,dish_look,dish_recommendation,others_overall_experience,others_willing_to_consume_again
2000,2000,"""环境是还不错的，但是过于嘈杂了。菜品比想象的差很多，价格也相比杭州类似的餐厅略贵，可能它贵就贵在“音乐”两个字上吧，但是所谓的音乐就是一个不知名的小提琴手拉着几首蹩脚的曲子。一共五个菜，一个冷菜四个热菜，五分钟之内全部上完，我是应该为厨师的烧菜速度点赞呢，还是应该怀疑这个菜品是否是现烧的，那个素烧鹅是我见过最袖珍的，那么小一片片，零零散散的装在盆子里，上面点缀着些许番茄酱，然后价格就噌噌噌上去了。还有服务员的服务素质也是服了，感觉他们的服务员都没有经过专业的培训，一个服务员在收拾隔壁桌的残羹剩菜的时候，把一玻璃碗直接摔破在你脚边，把一碗剩菜都泼我裤子上，看着那类似呕吐物的东西，简直太无语了，而服务员只是说了几句对不起跟递上几张纸巾就完事了，只能自己硬着头皮一点点擦掉。这家店应该不会去第二次了。""",-2,-2,-2,-2,-1,-2,1,-1,-2,-2,1,-1,1,1,-1,-1,-1,-2,-1,-1
2001,2001,"""真心感觉现在大学生比我们那时候幸福好多，经常出入季季红的就是大学生呢，自己也感觉年轻了好多。大学时候经常和同学拼单，感觉很便宜，现在依旧，终于同事7个人，吃了180块。两份牛肉，一份午餐肉还有好多蔬菜，吃的超爽的。然后到周围环境就是不是很安静。毕竟学生还是激情洋溢嘛～感觉之前吃过季季红都是超辣的，今天吃的没有感觉到，难道是我吃辣段位高了吗？呵呵，总体感觉不错。特别值得一提的是上菜的阿姨，非常的幽默和有礼貌，感觉心里舒适度很高，棒棒哒！""",-2,-2,-2,-2,1,-2,-2,0,-2,-2,-2,-1,-2,-2,-2,1,-2,-2,1,-2
2002,2002,"""跟着LP的介绍去的这家，在步行街附近，很好找，大概下午4点过去的，人不多。以木制品装修为主，非常小镇的感觉，音乐听的非常舒服。服务的现实非常绅士，感觉非常好，但结账时也付了10%的服务费，虽然如此感觉性价比还是可以。点了5个主食。根据LP的介绍点了鹿肉炖蔬菜和Wienerschnitzel，鹿肉口感不怎么样，但是蔬菜很好吃，就是有点咸;W就是炸牛排，也没有惊艳。服务生介绍的当天推荐的鹅腿味道很好，鸡肉也很嫩，贝壳味道很好也很大，就是稍微腥了点。5个人第一次点了5份主食，吃的很干净，连side也是大份的薯条和烤土豆。5份主食加3份咖啡2杯啤酒一共1700多捷克克朗，不含tips，性价比很高，非常推荐，很当地。""",-2,1,1,-2,1,-2,-2,-2,1,-2,-2,1,-2,-2,-2,0,-2,-2,1,1
2003,2003,"""【位置】就在五道口地铁站旁边，五道口购物中心6层。到了6层找人最多的一家，很好找。10点半开始门口已经挤满人了，太火爆了。
【环境】环境很好，吃的就是一种氛围。都是老北京的物件，胡同，水龙头，暖壶。对于北京人来说是一种怀旧。
【菜品】每到菜都不错。这次点的乾隆白菜，类似麻将芥末拌的白菜叶，很爽口。酥皮虾，甜口，外脆里嫩，强烈推荐。腊八蒜炒肚儿，味道很鲜，腊八蒜很爽口。局气梨汤，装在暖壶里，热热的，甜而不腻。强烈推荐，桌桌必点。
【价格】不算贵。适中大众菜。不错。""",1,1,-2,-1,-2,-2,-2,0,-2,-2,1,1,1,1,-2,1,-2,1,1,-2
2004,2004,"""现在写一下二次探店的感受 由于第一次人特别多 这次提前致电给老板 让老板给我留了位置 到了之后竟然发现我们是第二桌 来的时间很上次一样 差别却是很大啊。还是三个女生 点了八仙面 辣爆虾仁面 三个鸡爪 美颜皮冻 炸蘑菇。辣虾面很好吃 属于盖浇面 八仙面属于打卤面 上次吃的大虾面属于汤面 建议老板增加炒面 这样面的品种就齐全了，炸蘑菇不是刚炸好的有点儿凉 不够脆 皮冻比较一般 没什么惊艳的感觉，由于是新开的店 菜品种类并不多 我想店家这么用心一定会越做越好的 期待新的菜品和面哦""",-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,1,1
2005,2005,"""不知道吃什么 就在中环百联看看 好吧 一直看到江边城外人很多 以前本来要去五角场吃的 由于人太多 排队太久 所以选择了去其他地方 拿到号以后等14桌还是可以接受的 等了半个小时左右吧 
鱼可以先点起来 这样就会比较快一点 基本上就是我们坐进去不到两分钟鱼就已经上来了 还是不错的
我们点的是香辣的清江鱼 鱼没有刺 烤得还行 不能吃辣的朋友建议慎重 因为还是蛮辣的哦 
后来点了很多小菜 土豆丝呀还有菠菜呀 还有什么的忘记了 小菜很便宜都是几块十几块的 最后用了大众点评买单""",-2,-2,-2,0,-2,-2,0,1,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,1,-2
2006,2006,"""实在是气愤 我从来没写过这么多字 恭喜这家店中奖了 店里环境脏乱差 东西齁贵 麻辣烫食材不新鲜种类少不说 我一个女生荤菜就选了三块钱的腊肠和一些鱼豆腐加上素菜一上称竟然39块钱 最tm可气的菜都煮过火了小料齁咸 要多难吃有多难吃 再说说石锅拌饭 全是破菜丝子 一点荤也没有 不得不佩服你们店真是能宰一个算一个 照这样下去绝对黄！店里挂的上过美食大搜索的牌子肯定是花钱找人弄的！奉劝大伙千万别信千万别来！""",-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-1,-1,-1,-1,-2,-1,-2,-2,-1,-1
2007,2007,"""我是点了4样东西:鸡翅根味道还不错只是有点凉；番茄味的意大利面只有番茄酱的味道，后来加了点盐又加热了一下，味道还好；水果沙拉是真心不错应该是苹果、黄桃、菠萝再加上沙拉酱非常好吃，披萨应该是8寸2个人吃还是感觉很腻，没吃完……上面有很多牛肉粒、青椒、洋葱，感觉加上点红椒会更好看一些。
    环境给我的感觉很好，靠窗的位置很明亮。装修的不错。
    他们家的服务很好，有一个带眼镜的高高的帅哥几乎是有求必应，感觉他好像全岗通，点餐加上餐都是他就连叫服务员都是他过来的……
    整体感觉都是很不错的，下次还会再来^O^""",-2,-2,-2,-2,1,-2,-2,-2,-2,-2,1,1,1,1,-2,0,0,-2,1,1
2008,2008,"""不是因为卡梅伦来光顾过这个很多人应该都不知道这家店，很多外国人光顾，可想而知名声在外。于是过来拔草。还是有惊喜的。
葱油拌面里面放了干虾仁比较油但是很香很好吃。
糟毛豆不是特别入味。不推荐。
黄豆猪脚汤，猪脚炖的烂还可以，但是黄豆还是硬的所以火候和时间不是很够。但还可以味道不错。
蟹粉虾仁完全不推荐真的不好吃加了水味道淡，性价比不高。没有特别之处。
酱爆猪肝还是不错应该是事先炒好的有点冷了，这点挺可惜的。环境吵闹，价格适中，但是味道不知道为什么不让人怀念。是因为吃过更好吃的关系吗？！""",-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,-1,-2,-2,-2,0,-2,-1,0,-2
2009,2009,"""江宁金鹰店，刚开业打折，吃了两次，第一次3折，第二次4折，超级划算。在江宁金鹰4楼，最近搞活动，人很多，不早点去要排队。
这次3个人点了两条鱼，一条油泼香辣味的江团，一条麻辣味的清江，加上一些配菜跟饮料，打完折吃了170多，很爽。
先说鱼吧，江团果然是比清江鱼好很多，肉质更嫩也更鲜美，油泼香辣口味很赞，不算特别辣，酱汁味道没话说，鱼脸肉吃起来比牛蛙口感还要棒。相比之下，麻辣的清江就要逊色不少了，味道相比油泼香辣，层次感少了一些，但是总体还是可以的。
可惜的是配菜，因为两种口味都算比较重口了，配菜吃到后面放时间长了就会变得很咸，加了水之后味道也没有之前棒，所以配菜要趁早下趁早吃。
不足的地方是饮料，点了两杯奶茶跟一杯汽水，汽水味道很普通，奶茶几乎跟水一样，不过因为打4折也就没跟服务员抱怨什么。
总体来说还是很不错，服务也能跟得上，最近应该还在打折，所以喜欢吃烤鱼的吃货们，要抓紧咯。""",0,0,0,-2,0,-2,-2,0,1,1,-2,-2,-2,-2,-2,0,-2,1,1,-2
